,Dates,data,SMA30,SMA300,year,Buy_Signal,Sell_Signal,Signal_On_Dates,Updates_On_ShortTrades,Updates_On_LongTrades,Cummulative_Algo_Returns,Cummulative_Market_returns,month
8424,2013-05-23,1650.51,1609.2223333333338,1442.3227000000004,2013,,,,,opened,1250.4196451101425,1460.6183812405445,5
8425,2013-05-24,1649.6,1611.2473333333337,1443.1737666666668,2013,,,,,opened,1250.4196451101425,1459.7579425113463,5
8426,2013-05-28,1660.06,1614.8373333333336,1444.031966666667,2013,,,,,opened,1250.4196451101425,1469.6482602118003,5
8427,2013-05-29,1648.36,1617.2970000000003,1444.8459333333337,2013,,,,,opened,1250.4196451101425,1458.5854765506808,5
8428,2013-05-30,1654.41,1620.7103333333337,1445.661466666667,2013,,,,,opened,1250.4196451101425,1464.305975794251,5
8429,2013-05-31,1630.74,1623.6813333333337,1446.4122000000002,2013,,,,,opened,1250.4196451101425,1441.9251134644478,5
8430,2013-06-03,1640.42,1626.5203333333336,1447.2039666666667,2013,,,,,opened,1250.4196451101425,1451.0779122541603,6
8431,2013-06-04,1631.38,1628.8163333333334,1447.9992666666667,2013,,,,,opened,1250.4196451101425,1442.5302571860816,6
8432,2013-06-05,1608.9,1629.8203333333336,1448.7052333333336,2013,,,,,opened,1250.4196451101425,1421.2745839636914,6
8433,2013-06-06,1622.56,1631.2793333333334,1449.3920666666668,2013,,,,,opened,1250.4196451101425,1434.1906202723146,6
8434,2013-06-07,1643.38,1633.22,1450.1616000000001,2013,,,,,opened,1250.4196451101425,1453.876701966717,6
8435,2013-06-10,1642.81,1635.239,1450.9525,2013,,,,,opened,1250.4196451101425,1453.337745839637,6
8436,2013-06-11,1626.13,1636.3229999999999,1451.6953333333333,2013,,,,,opened,1250.4196451101425,1437.5661875945536,6
8437,2013-06-12,1612.52,1636.821333333333,1452.3755000000003,2013,,,,,opened,1250.4196451101425,1424.6974281391829,6
8438,2013-06-13,1636.36,1638.61,1453.0999000000004,2013,,,,,opened,1250.4196451101425,1447.2390317700454,6
8439,2013-06-14,1626.73,1639.5813333333333,1453.8110666666669,2013,,,,,opened,1250.4196451101425,1438.1335098335853,6
8440,2013-06-17,1639.04,1640.4020000000003,1454.6113333333335,2013,,,,,opened,1250.4196451101425,1449.7730711043873,6
8441,2013-06-18,1651.81,1641.5456666666666,1455.4571,2013,,,,,opened,1250.4196451101425,1461.8475794251133,6
8442,2013-06-19,1628.93,1641.6446666666668,1456.2795333333333,2013,,,,,opened,1250.4196451101425,1440.213691376702,6
8443,2013-06-20,1588.19,1640.1613333333335,1457.0448666666666,2013,,,,,opened,1250.4196451101425,1401.6925113464447,6
8444,2013-06-21,1592.43,1639.0200000000002,1457.790633333333,2013,,,,,opened,1250.4196451101425,1405.7015885022693,6
8445,2013-06-24,1573.09,1636.9996666666668,1458.4090333333331,2013,,,,,opened,1250.4196451101425,1387.4149016641452,6
8446,2013-06-25,1588.03,1635.4750000000001,1459.1349333333333,2013,,,,,opened,1250.4196451101425,1401.5412254160362,6
8447,2013-06-26,1603.26,1633.905666666667,1459.9139,2013,,,,,opened,1250.4196451101425,1415.9417549167927,6
8448,2013-06-27,1613.2,1632.3863333333336,1460.6553,2013,,,,,opened,1250.4196451101425,1425.340393343419,6
8449,2013-06-28,1606.28,1630.9133333333336,1461.3924333333332,2013,,,,,opened,1250.4196451101425,1418.7972768532525,6
8450,2013-07-01,1614.96,1629.1630000000002,1462.1859000000002,2013,,,,,opened,1250.4196451101425,1427.0045385779122,7
8451,2013-07-02,1614.08,1627.4226666666668,1462.9710666666667,2013,,,,,opened,1250.4196451101425,1426.1724659606655,7
8452,2013-07-03,1615.41,1625.6310000000003,1463.7993,2013,,,,,opened,1250.4196451101425,1427.430030257186,7
8453,2013-07-05,1631.89,1624.8490000000004,1464.6657,2013,,,,,opened,1250.4196451101425,1443.0124810892587,7
8454,2013-07-08,1640.46,1624.5140000000001,1465.4982666666667,2013,,,,,opened,1250.4196451101425,1451.1157337367624,7
8455,2013-07-09,1652.32,1624.6046666666668,1466.3394000000003,2013,,,,,opened,1250.4196451101425,1462.3298033282904,7
8456,2013-07-10,1652.62,1624.356666666667,1467.170266666667,2013,,,,,opened,1250.4196451101425,1462.6134644478063,7
8457,2013-07-11,1675.02,1625.2453333333335,1468.093966666667,2013,,,,,opened,1250.4196451101425,1483.7934947049923,7
8458,2013-07-12,1680.19,1626.1046666666668,1469.0085333333336,2013,,,,,opened,1250.4196451101425,1488.681921331316,7
8459,2013-07-15,1682.5,1627.8300000000004,1469.9425000000003,2013,,,,,opened,1250.4196451101425,1490.8661119515884,7
